task_id;exam_id;task_number;subtask;topic_primary;topic_secondary;points;estimated_time;difficulty;proof_or_computation;official_solution_status;grading_status;source_page;current_scope_status;duplicate_family;family_relation;confidence;notes
ss18-1;ss18;1;alle;differenzierbarkeit;kompaktheit|topologie|vollstaendigkeit;12;43;mittel;proof;no_solution;estimated_scoring;2;confirmed_current;template-differentiability-definition;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-2;ss18;2;alle;extrema;kompaktheit;4;14;mittel;proof;no_solution;estimated_scoring;3;confirmed_current;unique-ss18-2;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-3;ss18;3;alle;zusammenhang;integralrechnung;10;36;hoch;proof;no_solution;estimated_scoring;4;confirmed_current;unique-ss18-3;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-4;ss18;4;alle;kurven;differenzierbarkeit|stetigkeit;14;50;hoch;mixed;no_solution;estimated_scoring;5;likely_outdated;template-curve-length;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-5;ss18;5;alle;umkehrsatz;;10;36;hoch;proof;no_solution;estimated_scoring;6;confirmed_current;template-inverse-local-invertibility;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-1;geiges03;1;alle;topologie;kompaktheit;10;12;mittel;mixed;no_solution;estimated_scoring;1;confirmed_current;template-topology-definition-classification;theorem_variant;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-2;geiges03;2;alle;kurven;;9;11;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;template-curve-length;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-3;geiges03;3;alle;extrema;;8;10;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;template-critical-point-classification;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-4;geiges03;4;alle;metrische-raeume;topologie;7;9;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-geiges03-4;unique;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-5;geiges03;5;alle;extrema;;12;15;hoch;mixed;no_solution;estimated_scoring;2;confirmed_current;unique-geiges03-5;unique;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-6;geiges03;6;alle;richtungsableitungen;differenzierbarkeit;9;11;mittel;proof;no_solution;estimated_scoring;2;confirmed_current;template-differentiability-definition;theorem_variant;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-7;geiges03;7;alle;richtungsableitungen;differenzierbarkeit;10;12;mittel;mixed;no_solution;estimated_scoring;2;confirmed_current;template-directional-not-total;proof_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-8;geiges03;8;alle;implizite-funktionen;;9;11;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;template-implicit-function-derivatives;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-9;geiges03;9;alle;lagrange;;8;10;hoch;mixed;no_solution;estimated_scoring;2;confirmed_current;template-lagrange-constrained-extrema;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-10;geiges03;10;alle;differentialgleichungen;;18;22;hoch;mixed;no_solution;estimated_scoring;2;unresolved;template-dgl-existence-uniqueness;proof_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
geiges15-1;geiges15;1;alle;kurven;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;template-curve-length;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges15-2;geiges15;2;alle;differenzierbarkeit;;unknown;18;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;template-differentiability-definition;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges15-3;geiges15;3;alle;banach-fixpunkt;;unknown;18;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-geiges15-3;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges15-4;geiges15;4;alle;extrema;lagrange;unknown;18;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;template-lagrange-constrained-extrema;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges15-5;geiges15;5;alle;implizite-funktionen;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;template-implicit-function-derivatives;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges15-6;geiges15;6;alle;differentialgleichungen;analysis-1;unknown;18;hoch;mixed;no_solution;estimated_scoring;2;unresolved;unique-geiges15-6;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
marinescu08-1;marinescu08;1;alle;integralrechnung;;8;10;mittel;computation;no_solution;estimated_scoring;1;likely_current;unique-marinescu08-1;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
marinescu08-2;marinescu08;2;alle;metrische-raeume;vollstaendigkeit|kompaktheit;8;10;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;template-completeness-proof;proof_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
marinescu08-3;marinescu08;3;alle;gleichmaessige-konvergenz;reihen;10;12;mittel;mixed;no_solution;estimated_scoring;1;confirmed_current;unique-marinescu08-3;unique;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
marinescu08-4;marinescu08;4;alle;differenzierbarkeit;;4;8;mittel;proof;no_solution;estimated_scoring;2;confirmed_current;template-differentiability-definition;theorem_variant;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
marinescu08-5;marinescu08;5;alle;differenzierbarkeit;;10;12;hoch;mixed;no_solution;estimated_scoring;2;confirmed_current;unique-marinescu08-5;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
sweers10-mix-1;sweers10-mix;1;alle;komplexe-zahlen;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;historically_examined;unique-sweers10-mix-1;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-2;sweers10-mix;2;alle;uneigentliche-integrale;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_current;template-improper-integral;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-3;sweers10-mix;3;alle;folgen;;unknown;18;hoch;proof;no_solution;estimated_scoring;1;likely_current;unique-sweers10-mix-3;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-4;sweers10-mix;4;alle;reihen;;unknown;18;mittel;mixed;no_solution;estimated_scoring;1;confirmed_current;unique-sweers10-mix-4;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-5;sweers10-mix;5;alle;analysis-1;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;unique-sweers10-mix-5;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-6;sweers10-mix;6;alle;dynamische-systeme;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;exact-sweers10-linear-systems;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-7;sweers10-mix;7;alle;lagrange;;unknown;18;hoch;proof;no_solution;estimated_scoring;2;confirmed_current;exact-sweers10-lagrange-claim;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-8;sweers10-mix;8;alle;taylor;;unknown;18;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;exact-sweers10-taylor-sinxy;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-9;sweers10-mix;9;alle;differenzierbarkeit;;unknown;18;hoch;mixed;no_solution;estimated_scoring;2;confirmed_current;exact-sweers10-product-factor;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-mix-10;sweers10-mix;10;alle;extrema;kompaktheit;unknown;18;hoch;mixed;no_solution;estimated_scoring;2;confirmed_current;exact-sweers10-global-extrema;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-1;sweers10;1;alle;differentialgleichungen;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;unresolved;template-dgl-separable-ivp;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
sweers10-2;sweers10;2;alle;implizite-funktionen;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;unique-sweers10-2;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-3;sweers10;3;alle;differenzierbarkeit;stetigkeit;unknown;18;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;template-continuity-vs-differentiability;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-4;sweers10;4;alle;kurven;;unknown;18;mittel;mixed;no_solution;estimated_scoring;1;likely_outdated;template-curve-length;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-5;sweers10;5;alle;dynamische-systeme;;unknown;18;mittel;computation;no_solution;estimated_scoring;2;likely_outdated;exact-sweers10-linear-systems;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-6;sweers10;6;alle;lagrange;;unknown;18;hoch;proof;no_solution;estimated_scoring;2;confirmed_current;exact-sweers10-lagrange-claim;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-7;sweers10;7;alle;taylor;;unknown;18;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;exact-sweers10-taylor-sinxy;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-8;sweers10;8;alle;mehrdimensionale-integrale;;unknown;18;mittel;computation;no_solution;estimated_scoring;3;unresolved;template-multidimensional-integral;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
sweers10-9;sweers10;9;alle;differenzierbarkeit;;unknown;18;hoch;mixed;no_solution;estimated_scoring;3;confirmed_current;exact-sweers10-product-factor;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers10-10;sweers10;10;alle;extrema;kompaktheit;unknown;18;hoch;mixed;no_solution;estimated_scoring;3;confirmed_current;exact-sweers10-global-extrema;exact_duplicate;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-1-1;sweers14-1;1;alle;kurven;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;template-curve-length;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-1-2;sweers14-1;2;alle;extrema;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;unique-sweers14-1-2;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-1-3;sweers14-1;3;alle;differentialgleichungen;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;unresolved;template-dgl-separable-ivp;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
sweers14-1-4;sweers14-1;4;alle;differenzierbarkeit;stetigkeit;unknown;18;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;template-continuity-vs-differentiability;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-1-5;sweers14-1;5;alle;richtungsableitungen;differenzierbarkeit;unknown;18;mittel;mixed;no_solution;estimated_scoring;2;confirmed_current;template-directional-not-total;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-1-6;sweers14-1;6;alle;lagrange;;unknown;18;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;template-lagrange-constrained-extrema;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-1-7;sweers14-1;7;alle;umkehrsatz;;unknown;18;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;template-inverse-local-invertibility;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-1-8;sweers14-1;8;alle;zusammenhang;;unknown;18;mittel;mixed;no_solution;estimated_scoring;2;confirmed_current;unique-sweers14-1-8;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-2-1;sweers14-2;1;alle;kurven;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;template-curve-length;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-2-2;sweers14-2;2;alle;extrema;;unknown;18;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;template-critical-point-classification;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-2-3;sweers14-2;3;alle;topologie;;unknown;18;hoch;proof;no_solution;estimated_scoring;3;confirmed_current;template-topology-definition-classification;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-2-4;sweers14-2;4;alle;differentialgleichungen;umkehrsatz;unknown;18;mittel;computation;no_solution;estimated_scoring;4;unresolved;template-dgl-separable-ivp;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
sweers14-2-5;sweers14-2;5;alle;stetigkeit;differenzierbarkeit;unknown;18;hoch;proof;no_solution;estimated_scoring;5;confirmed_current;template-continuity-vs-differentiability;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-2-6;sweers14-2;6;alle;lagrange;;unknown;18;mittel;computation;no_solution;estimated_scoring;6;confirmed_current;template-lagrange-constrained-extrema;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-2-7;sweers14-2;7;alle;umkehrsatz;;unknown;18;mittel;computation;no_solution;estimated_scoring;7;confirmed_current;template-inverse-local-invertibility;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
sweers14-2-8;sweers14-2;8;alle;mehrdimensionale-integrale;;unknown;18;mittel;computation;no_solution;estimated_scoring;8;unresolved;template-multidimensional-integral;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
thorbergsson13-1;thorbergsson13;1;alle;stetigkeit;;unknown;18;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-thorbergsson13-1;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
thorbergsson13-2;thorbergsson13;2;alle;uneigentliche-integrale;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_current;template-improper-integral;computational_template;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
thorbergsson13-3;thorbergsson13;3;alle;metrische-raeume;zusammenhang;unknown;18;hoch;mixed;no_solution;estimated_scoring;1;confirmed_current;unique-thorbergsson13-3;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
thorbergsson13-4;thorbergsson13;4;alle;richtungsableitungen;differenzierbarkeit;unknown;18;mittel;mixed;no_solution;estimated_scoring;1;confirmed_current;template-directional-not-total;proof_template;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
thorbergsson13-5;thorbergsson13;5;alle;differenzierbarkeit;;unknown;18;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-thorbergsson13-5;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
thorbergsson13-6;thorbergsson13;6;alle;extrema;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;unique-thorbergsson13-6;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
thorbergsson13-7;thorbergsson13;7;alle;gleichmaessige-konvergenz;unsicher;unknown;18;mittel;unresolved;no_solution;estimated_scoring;1;unresolved;unique-thorbergsson13-7;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
thorbergsson13-8;thorbergsson13;8;alle;integralrechnung;stetigkeit;unknown;18;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-thorbergsson13-8;unique;niedrig;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aufgabentext oder Formel muss direkt im PDF geprüft werden.
ss20-1;ss20;1;alle;gleichmaessige-konvergenz;;7;9;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-ss20-1;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss20-2;ss20;2;alle;kompaktheit;topologie;12;15;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-ss20-2;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss20-3;ss20;3;alle;differentialgleichungen;;12;15;mittel;computation;no_solution;estimated_scoring;1;unresolved;template-dgl-separable-ivp;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
ss20-4;ss20;4;alle;extrema;lagrange;12;15;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;template-lagrange-constrained-extrema;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss20-5;ss20;5;alle;implizite-funktionen;;10;12;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;template-implicit-function-derivatives;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-1;ss21;1;alle;metrische-raeume;;20;25;hoch;proof;official_solution;source_points_only;2;confirmed_current;unique-ss21-1;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-2;ss21;2;alle;topologie;kompaktheit;20;25;hoch;mixed;official_solution;source_points_only;5;confirmed_current;template-topology-definition-classification;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-3;ss21;3;alle;extrema;;25;31;hoch;computation;official_solution;source_points_only;8;confirmed_current;template-critical-point-classification;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-4;ss21;4;alle;richtungsableitungen;differenzierbarkeit;20;25;hoch;mixed;official_solution;source_points_only;11;confirmed_current;template-directional-not-total;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-5;ss21;5;alle;mannigfaltigkeiten;differenzierbarkeit;20;25;hoch;mixed;official_solution;source_points_only;14;unresolved;template-manifold-tangent-space;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
ss21-6;ss21;6;alle;implizite-funktionen;;20;25;hoch;mixed;official_solution;source_points_only;17;confirmed_current;template-implicit-function-derivatives;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-7;ss21;7;alle;differentialgleichungen;;25;31;hoch;mixed;official_solution;source_points_only;20;unresolved;template-dgl-existence-uniqueness;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
ss21-nach-1;ss21-nach;1;alle;gleichmaessige-konvergenz;stetigkeit;20;25;hoch;proof;official_rubric;official_rubric;2;confirmed_current;unique-ss21-nach-1;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-nach-2;ss21-nach;2;alle;vollstaendigkeit;metrische-raeume;20;25;hoch;proof;official_rubric;official_rubric;5;confirmed_current;template-completeness-proof;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-nach-3;ss21-nach;3;alle;extrema;kompaktheit|lagrange;25;31;hoch;mixed;official_rubric;official_rubric;8;confirmed_current;template-lagrange-constrained-extrema;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-nach-4;ss21-nach;4;alle;differenzierbarkeit;;20;25;hoch;mixed;official_rubric;official_rubric;11;confirmed_current;unique-ss21-nach-4;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-nach-5;ss21-nach;5;alle;umkehrsatz;;20;25;hoch;mixed;official_rubric;official_rubric;14;confirmed_current;template-inverse-local-invertibility;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss21-nach-6;ss21-nach;6;alle;mannigfaltigkeiten;implizite-funktionen;20;25;hoch;mixed;official_rubric;official_rubric;17;unresolved;template-manifold-tangent-space;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
ss21-nach-7;ss21-nach;7;alle;differentialgleichungen;;25;31;hoch;mixed;official_rubric;official_rubric;20;unresolved;template-dgl-existence-uniqueness;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
ss25-1;ss25;1;alle;topologie;metrische-raeume;20;25;hoch;proof;official_solution;source_points_only;2;confirmed_current;template-topology-definition-classification;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss25-2;ss25;2;alle;richtungsableitungen;differenzierbarkeit;15;19;mittel;mixed;official_solution;source_points_only;3;confirmed_current;template-directional-not-total;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss25-3;ss25;3;alle;differenzierbarkeit;;15;19;hoch;proof;official_solution;source_points_only;4;confirmed_current;unique-ss25-3;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss25-4;ss25;4;alle;extrema;;15;19;mittel;computation;official_solution;source_points_only;5;confirmed_current;template-critical-point-classification;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss25-5;ss25;5;alle;mannigfaltigkeiten;extrema;15;19;hoch;mixed;official_solution;source_points_only;6;unresolved;template-manifold-tangent-space;proof_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
ss25-6;ss25;6;alle;differentialgleichungen;;20;25;hoch;computation;official_solution;source_points_only;8;unresolved;template-dgl-separable-ivp;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
ss25-7;ss25;7;alle;mehrdimensionale-integrale;;20;25;hoch;mixed;official_solution;source_points_only;10;unresolved;template-multidimensional-integral;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
